Newspapers,LCCN,OCLC,ISSN,State,County,City,Geo Location,Browse Digitized Issues,Number of Issues,First Issue,Last Issue,Essay Available,Languages,Ethnicity
"The Weekly Avalanche (Des Moines, Iowa) 1891-1???",sn83025195,9305358,2832-8752,Iowa,Polk,Des Moines,"41.588822, -93.620309",https://www.loc.gov/item/sn83025195/?st=calendar,1,1893-01-20,1893-01-20,TRUE,English,African American
"The Weekly Call (Topeka, Kan.) 1893-1???",sn85032048,12886332,,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn85032048/?st=calendar,213,1891-06-28,1898-10-29,TRUE,English,African American
"The Weekly Defiance (Atlanta, Ga.) 1881-1889",sn83016184,9612325,2833-6607,Georgia,Fulton,Atlanta,"33.748547, -84.391502",https://www.loc.gov/item/sn83016184/?st=calendar,2,1882-10-24,1883-02-24,TRUE,English,African American
"The Weekly Echo (Meridian, Miss.) 1931-1942",sn87065408,15716025,2765-9313,Mississippi,Lauderdale,Meridian,"32.365047, -88.703606",https://www.loc.gov/item/sn87065408/?st=calendar,163,1/6/33,1/9/42,TRUE,English,African American
"The Weekly Louisianian (New Orleans, La.) 1872-1882",sn83016632,9957300,2378-038x,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83016632/?st=calendar,285,1872-04-27,1882-06-17,TRUE,"English, French",African American
"The Weekly Loyal Georgian (Augusta, Ga.) 1867-1868",sn83027105,10129523,2996-0258,Georgia,Richmond,Augusta,"33.472494, -81.964397",https://www.loc.gov/item/sn83027105/?st=calendar,3,1867-08-10,1868-02-15,TRUE,English,African American
"The Weekly Negro World (Knoxville, Tenn.) 1887-1887",sn83025767,9773422,2996-8089,Tennessee,Knox,Knoxville,"35.9626444, -83.9167239",https://www.loc.gov/item/sn83025767/?st=calendar,1,1887-10-15,1887-10-15,TRUE,English,African American
"The Weekly Negro World (Cary, Miss.) 189?-19??",2018270512,"1059131230, n1059131230",2766-0990,Mississippi,Sharkey,Cary,"32.8079157, -90.9230147",https://www.loc.gov/item/2018270512/?st=calendar,1,4/26/02,4/26/02,TRUE,English,African American
"The Weekly Pelican (New Orleans, La.) 1886-1889",sn83016655,9961600,2997-951x,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83016655/?st=calendar,104,1886-12-04,1889-11-23,TRUE,English,African American
"The Weekly Review (New Albany, Ind.) 1881-188?",sn86058076,13351985,2833-8731,Indiana,Floyd,New Albany,"38.283507, -85.823002",https://www.loc.gov/item/sn86058076/?st=calendar,1,1881-04-16,1881-04-16,TRUE,English,African American
"The Weekly Review (Lincoln, Nebraska) 1933-19??",2019270504,"1088505567, n1088505567",2768-5810,Nebraska,Lancaster,Lincoln,"40.813599, -96.70261",https://www.loc.gov/item/2019270504/?st=calendar,8,1/12/33,3/30/33,TRUE,English,African American
"The West End News (Frederiksted, St. Croix [V.I.]) 1912-1973",sn84037548,10531620,2996-9220,Virgin Islands,Saint Croix,Frederiksted,"17.712232, -64.882585",https://www.loc.gov/item/sn84037548/?st=calendar,1305,11/23/53,12/31/63,TRUE,English,"African American, Caribbean"
"West Virginia Freeman (Parkersburg, W. Va.) 1881-1886",sn86092472,2269450,2994-9904,West Virginia,Wood,Parkersburg,"39.2635092, -81.5447564",https://www.loc.gov/item/sn86092472/?st=calendar,267,1881-02-23,1886-04-28,TRUE,English,African American
"Western Appeal (Saint Paul, Minn.) 1885-18??",sn83016811,10153837,2163-7083,Minnesota,"Ramsey, Hennepin, Cook","Saint Paul, Minneapolis, Chicago","41.883229, -87.632398",https://www.loc.gov/item/sn83016811/?st=calendar,84,1885-06-13,1888-12-29,TRUE,English,African American
"Western Appeal (Saint Paul, Minn.) 1885-18??",sn83016811,10153837,2163-7083,Illinois,"Ramsey, Hennepin, Cook","Saint Paul, Minneapolis, Chicago","41.883229, -87.632398",https://www.loc.gov/item/sn83016811/?st=calendar,84,1885-06-13,1888-12-29,TRUE,English,African American
"Western Christian Recorder (Kansas City, Kan.) 18??-1899",sn85032356,13049023,,Kansas,Wyandotte,Kansas City,"39.1127, -94.626804",https://www.loc.gov/item/sn85032356/?st=calendar,43,1898-02-26,1899-08-19,TRUE,English,African American
"Western Cyclone (Nicodemus, Kan.) 1886-1887",sn84030031,11364724,2996-0517,Kansas,Graham,Nicodemus,"39.3940036, -99.6157905",https://www.loc.gov/item/sn84030031/?st=calendar,79,1886-05-13,1887-12-16,TRUE,English,African American
"The Western Enterprise (Colorado Springs, Colo.) 1896-1912",sn83025515,9542002,2835-6470,Colorado,El Paso,Colorado Springs,"38.835224, -104.819798",https://www.loc.gov/item/sn83025515/?st=calendar,2,1/6/00,1/27/00,TRUE,English,African American
"The Western Outlook (San Francisco, Cal.) 1894-1928",sn84025815,10328990,2836-8789,California,"Alameda, San Francisco","Oakland, San Francisco","37.7800771, -122.4201615",https://www.loc.gov/item/sn84025815/?st=calendar,81,1/27/00,5/26/28,TRUE,English,African American
"The Wichita Searchlight (Wichita, Kan.) 1900-1912",sn85032585,12671281,2997-674x,Kansas,Sedgwick,Wichita,"37.6860234, -97.335571",https://www.loc.gov/item/sn85032585/?st=calendar,591,6/2/00,10/26/12,TRUE,English,African American
"The Wichita Tribune (Wichita, Kan.) 1898-1???",sn84025832,10372415,2837-0392,Kansas,Sedgwick,Wichita,"37.6860234, -97.335571",https://www.loc.gov/item/sn84025832/?st=calendar,18,1898-07-23,1899-03-04,TRUE,English,African American
"Wide-Awake (Birmingham, Ala.) 189?-1906",sn83025484,9526349,2835-642x,Alabama,Jefferson,Birmingham,"33.5228587, -86.8077052",https://www.loc.gov/item/sn83025484/?st=calendar,1,1/24/00,1/24/00,TRUE,English,African American
"Wisconsin Afro-American (Milwaukee, Wis.) 1892-1892",sn84025844,10435733,2643-3826,Wisconsin,Milwaukee,Milwaukee,"43.041072, -87.909421",https://www.loc.gov/item/sn84025844/?st=calendar,7,1892-08-13,1892-11-19,TRUE,English,African American
"The Wisconsin Weekly Advocate (Milwaukee, Wis.) 1898-19??",sn84025861,10509898,,Wisconsin,Milwaukee,Milwaukee,"43.041072, -87.909421",https://www.loc.gov/item/sn84025861/?st=calendar,391,1898-05-07,9/19/07,TRUE,English,African American
"The Wisconsin Weekly Blade (Madison, Wis.) 1916-1925",sn84025842,10462416,2768-5403,Wisconsin,Dane,Madison,"43.073926, -89.385244",https://www.loc.gov/item/sn84025842/?st=calendar,143,6/8/16,9/2/22,TRUE,English,African American
"The World (Seattle, Wash.) 1898-19??",sn84025812,10328976,2832-8582,Washington,King,Seattle,"47.603229, -122.33028",https://www.loc.gov/item/sn84025812/?st=calendar,1,1899-01-04,1899-01-04,TRUE,English,African American
