Newspapers,LCCN,OCLC,ISSN,State,County,City,Geo Location,Browse Digitized Issues,Number of Issues,First Issue,Last Issue,Essay Available,Languages,Ethnicity
"Iowa State Bystander (Des Moines, Iowa) 1894-1916",sn83025186,9304215,2332-452x,Iowa,Polk,Des Moines,"41.588822, -93.620309",https://www.loc.gov/item/sn83025186/?st=calendar,1105,1894-06-15,1/14/16,TRUE,English,African American
"The Item (Dallas, Tex.) 1891-1900",sn83025788,9839595,2835-8619,Texas,Dallas,Dallas,"32.7779765, -96.7962148",https://www.loc.gov/item/sn83025788/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"Jackson Advocate (Jackson, Miss.) 1939-Current",sn79000083,4701538,0047-1704,Mississippi,Hinds,Jackson,"32.302897, -90.183488",https://www.loc.gov/item/sn79000083/?st=calendar,1087,8/2/41,12/21/63,TRUE,English,African American
"The Jackson Headlight (Jackson, Tenn.) 1900-19??",sn83025727,9765547,2835-7396,Tennessee,Madison,Jackson,"35.614344, -88.81938",https://www.loc.gov/item/sn83025727/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"The Journal of Industry (Raleigh, N.C.) 1879-1???",sn92072981,25557526,2475-0654,North Carolina,Wake,Raleigh,"35.7813033, -78.6416795",https://www.loc.gov/item/sn92072981/?st=calendar,2,1879-04-01,1880-10-09,TRUE,English,African American
"Justice (Chattanooga, Tenn.) 1887-18??",sn83025741,9772116,2835-7434,Tennessee,Hamilton,Chattanooga,"35.045756, -85.308287",https://www.loc.gov/item/sn83025741/?st=calendar,1,1887-12-24,1887-12-24,TRUE,English,African American
"The Kansas Blackman (Topeka, Kan.) 1894-1???",sn85067074,12770657,2994-8762,Kansas,"Shawnee, Montgomery","Topeka, Coffeyville","37.032981, -95.615716",https://www.loc.gov/item/sn85067074/?st=calendar,11,1894-04-20,1894-06-29,TRUE,English,African American
"Kansas City Observer (Kansas City, Mo.) 1896-19??",sn83025495,9529378,2835-6330,Missouri,Jackson,Kansas City,"39.099792, -94.578559",https://www.loc.gov/item/sn83025495/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"The Kansas City Sun (Kansas City, Mo.) 1908-1924",sn90061556,21244408,2166-8329,Missouri,Jackson,Kansas City,"39.099792, -94.578559",https://www.loc.gov/item/sn90061556/?st=calendar,360,1/10/14,12/25/20,TRUE,English,African American
"The Kansas Headlight (Wichita, Kan.) 1894-1894",sn85032460,12714539,2994-8789,Kansas,Sedgwick,Wichita,"37.6860234, -97.335571",https://www.loc.gov/item/sn85032460/?st=calendar,1,1894-09-14,1894-09-14,TRUE,English,African American
"The Kansas State Ledger (Topeka, Kan.) 1892-1894",sn85067105,12789167,,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn85067105/?st=calendar,166,1892-07-22,1895-10-11,,English,African American
"Kansas Weekly Herald (Topeka, Kan.) 1880-1880",sn85067092,12851084,2994-8576,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn85067092/?st=calendar,2,1880-01-30,1880-02-06,TRUE,English,African American
"Kentucky Reporter (Owensboro, Ky.) 1???-19??",sn86069325,13922717,1943-8923,Kentucky,Daviess,Owensboro,"37.772696, -87.111033",https://www.loc.gov/item/sn86069325/?st=calendar,1,3/22/02,3/22/02,TRUE,English,African American
"The Knoxville Negro World (Knoxville, Tenn.) 1887-1888",sn83025748,9773383,2996-6574,Tennessee,Knox,Knoxville,"35.9626444, -83.9167239",https://www.loc.gov/item/sn83025748/?st=calendar,1,1887-11-26,1887-11-26,TRUE,English,African American
L'union (Nouvelle-Orléans [La.]) 1862-1864,sn83026401,9990651,2835-8872,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83026401/?st=calendar,101,1862-09-27,1864-07-19,TRUE,"English, French",African American
"The Langston City Herald (Langston City, O.T. [Okla.]) 1891-1902",sn83025050,9227089,2158-8929,Oklahoma,Logan,"Langston, Guthrie","35.880122, -97.425319",https://www.loc.gov/item/sn83025050/?st=calendar,67,1892-11-17,1/27/00,TRUE,English,African American
"The Laurinburg Post (Laurinburg, N.C.) 1895-1???",sn91068174,24532239,2769-139x,North Carolina,Scotland,Laurinburg,"34.774167, -79.462818",https://www.loc.gov/item/sn91068174/?st=calendar,1,1895-12-21,1895-12-21,,English,African American
"Le Dimanche (Nouvelle-Orléans [i.e. New Orleans, La.]) 1861-1876",sn83016654,9961481,2996-0592,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83016654/?st=calendar,1,1861-02-10,1861-02-10,TRUE,French,African American
"The Leader (Washington, D.C.) 1889-18??",sn84025835,10373277,2995-8989,District of Columbia,,"Washington, Alexandria","38.804665, -77.043614",https://www.loc.gov/item/sn84025835/?st=calendar,6,1889-10-12,1889-12-21,TRUE,English,African American
"The Leader (Washington, D.C.) 1889-18??",sn84025835,10373277,2995-8989,Virginia,,"Washington, Alexandria","38.804665, -77.043614",https://www.loc.gov/item/sn84025835/?st=calendar,6,1889-10-12,1889-12-21,TRUE,English,African American
"The Leavenworth Advocate (Leavenworth, Kan.) 1889-1891",sn85029302,12101792,,Kansas,Leavenworth,Leavenworth,"39.32746, -94.918953",https://www.loc.gov/item/sn85029302/?st=calendar,101,1889-09-21,1891-08-22,TRUE,English,African American
"The Leavenworth Herald (Leavenworth, Kansas) 1894-1899",sn85029234,12101951,,Kansas,Leavenworth,Leavenworth,"39.32746, -94.918953",https://www.loc.gov/item/sn85029234/?st=calendar,182,1894-02-17,1898-04-23,TRUE,English,African American
"The Lexington Standard (Lexington, Ky.) 1892-1912",sn83025729,9765671,2157-1384,Kentucky,Fayette,Lexington,"38.046356, -84.497021",https://www.loc.gov/item/sn83025729/?st=calendar,9,1/27/00,12/16/11,TRUE,English,African American
"Lexington Weekly News (Lexington, Ky.) 1912-19??",sn86069070,13244309,2332-4627,Kentucky,Fayette,Lexington,"38.046356, -84.497021",https://www.loc.gov/item/sn86069070/?st=calendar,3,3/15/12,8/17/12,TRUE,English,African American
"The Light (Vicksburg, Miss.) 1891-19??",sn84025824,10347312,2836-9076,Mississippi,Warren,Vicksburg,"32.348144, -90.882456",https://www.loc.gov/item/sn84025824/?st=calendar,1,1/18/00,1/18/00,TRUE,English,African American
"The Little Rock Reporter (Little Rock, Ark.) 1901-1906",sn92050009,25133899,2995-5262,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn92050009/?st=calendar,1,2/27/04,2/27/04,TRUE,English,African American
"The Louisianian (New Orleans, La.) 1870-1871",sn83016630,9957021,2326-6287,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83016630/?st=calendar,36,1870-12-18,1871-05-07,TRUE,English,African American
"The Loyal Georgian (Augusta, Ga.) 1866-1867",sn82016224,9244954,2996-0231,Georgia,Richmond,Augusta,"33.472494, -81.964397",https://www.loc.gov/item/sn82016224/?st=calendar,13,1866-01-20,1867-07-06,TRUE,English,African American
"The Macon Sentinel (Macon, Ga.) 1899-19??",sn83016188,9613561,2833-664x,Georgia,Bibb,Macon,"32.8360926, -83.6316511",https://www.loc.gov/item/sn83016188/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"Maryville Republican (Maryville, Tenn.) 1867-187?",sn83025728,9765605,2331-026x,Tennessee,Blount,Maryville,"35.750607, -83.973082",https://www.loc.gov/item/sn83025728/?st=calendar,5,1867-11-02,1876-10-07,TRUE,English,African American
"Maryville Republican (Maryville, Tenn.) 187?-1877",sn96091618,35070847,2331-3196,Tennessee,Blount,Maryville,"35.750607, -83.973082",https://www.loc.gov/item/sn96091618/?st=calendar,4,1876-08-05,1877-10-27,TRUE,English,African American
"The McDowell Times (Keystone, W. Va.) 1904-1941",sn86092050,13032822,2640-3471,West Virginia,McDowell,Keystone,"37.4156027, -81.4503191",https://www.loc.gov/item/sn86092050/?st=calendar,534,5/9/13,11/28/41,TRUE,English,African American
"Metropolis Weekly Gazette (Metropolis, Ill.) 1???-19??",sn89080007,22355720,2694-121x,Illinois,Massac County,Metropolis,"37.151109, -88.731876",https://www.loc.gov/item/sn89080007/?st=calendar,426,7/21/11,12/22/22,TRUE,English,African American
"Metropolitan News (Chicago, Ill.) 1935-19??",sn91055359,23942530,2694-1244,Illinois,Cook County,Chicago,"41.883229, -87.632398",https://www.loc.gov/item/sn91055359/?st=calendar,12,5/7/35,2/27/37,TRUE,English,African American
"The Miami Times (Miami, Fla.) 1923-Current",sn83004231,2264129,0739-0319,Florida,Dade,Miami,"25.775084, -80.194702",https://www.loc.gov/item/sn83004231/?st=calendar,387,10/23/48,12/28/57,TRUE,English,African American
"The Michigan Chronicle (Detroit, Mich.) 1936-Current",sn83045324,2264134,1949-9620,Michigan,Wayne,Detroit,"42.3329407, -83.0478365",https://www.loc.gov/item/sn83045324/?st=calendar,227,1/14/39,12/29/45,TRUE,English,African American
"The Midland Express (Boydton, Va.) 1891-189?",sn86058060,13352245,2837-3081,Virginia,Mecklenburg,Boydton,"36.667418, -78.39007",https://www.loc.gov/item/sn86058060/?st=calendar,1,1893-03-03,1893-03-03,TRUE,English,African American
"The Minneapolis Observer (Minneapolis, Minn.) 1890-1???",sn86058064,13353485,2996-3265,Minnesota,Hennepin,Minneapolis,"44.9774859, -93.2643669",https://www.loc.gov/item/sn86058064/?st=calendar,6,1890-08-16,1890-09-27,TRUE,English,African American
"Minneapolis Spokesman (Minneapolis, Minn.) 1934-2000",sn83025247,1715036,2835-0960,Minnesota,Hennepin,Minneapolis,"44.9774859, -93.2643669",https://www.loc.gov/item/sn83025247/?st=calendar,1521,8/10/34,12/26/63,TRUE,English,African American
Mirror of the Times (San Francisco [Calif.]) 1857-1862,sn83027100,10103020,2995-6455,California,San Francisco,San Francisco,"37.7800771, -122.4201615",https://www.loc.gov/item/sn83027100/?st=calendar,1,1857-12-12,1857-12-12,TRUE,English,African American
"Missionary Record (Charleston, S.C.) 1868-1879",sn83025781,9797551,2165-9419,South Carolina,Charleston,Charleston,"32.77647, -79.931027",https://www.loc.gov/item/sn83025781/?st=calendar,3,1873-07-05,1876-04-01,TRUE,English,African American
"The Mississippi Enterprise (Jackson, Miss.) 1938-Current",sn87065258,15339733,2765-9739,Mississippi,Hinds,Jackson,"32.302897, -90.183488",https://www.loc.gov/item/sn87065258/?st=calendar,503,8/15/42,10/19/63,TRUE,English,African American
"The Missouri Messenger (Macon ; Kansas City, Mo.) 1894-1900",sn83025493,9529249,2835-6292,Missouri,"Macon, Jackson","Macon, Kansas City","39.099792, -94.578559",https://www.loc.gov/item/sn83025493/?st=calendar,1,1/26/00,1/26/00,TRUE,English,African American
"The Monitor (Omaha, Neb.) 1915-1928",225879,45351894,2768-5535,Nebraska,Douglas,Omaha,"41.258652, -95.937195",https://www.loc.gov/item/00225879/?st=calendar,683,7/3/15,11/30/28,TRUE,English,African American
"The Montana Plaindealer (Helena, Mont.) 1906-1911",sn84036199,11254801,2329-552x,Montana,Lewis and Clark,Helena,"46.5910708, -112.0203973",https://www.loc.gov/item/sn84036199/?st=calendar,125,3/16/06,9/8/11,TRUE,English,African American
"The Montgomery Enterprise (Montgomery, Ala.) 1898-1???",sn83025485,9526435,2835-6454,Alabama,Montgomery,Montgomery,"32.376542, -86.2996608",https://www.loc.gov/item/sn83025485/?st=calendar,1,1/26/00,1/26/00,TRUE,English,African American
"The Muskogee Cimeter (Muskogee, Indian Territory, Okla.) 1901-19??",sn83025060,9228536,2158-8937,Oklahoma,Muskogee,Muskogee,"35.747864, -95.369421",https://www.loc.gov/item/sn83025060/?st=calendar,326,6/2/04,8/27/20,TRUE,English,African American
"The N.C. Republican, and Civil Rights Advocate (Weldon, N.C.) 1884-1???",sn83025842,9839433,2835-8686,North Carolina,Halifax,Weldon,"36.4261056, -77.5960886",https://www.loc.gov/item/sn83025842/?st=calendar,1,1884-05-22,1884-05-22,TRUE,English,African American
"The Nashville Globe (Nashville, Tenn.) 1906-193?",sn86064259,13744970,2373-4892,Tennessee,Davidson,Nashville,"36.1663493, -86.7790541",https://www.loc.gov/item/sn86064259/?st=calendar,461,1/11/07,12/27/18,TRUE,English,African American
