"","year","...2","file_id","date","newspaper_city","newspaper_state","url","sn","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","state","newspaper","oclc","issn","no_issues","earliest_issue","latest_issue","abbreviation","region","border","newspaper_name","newspaper_state_clean"
"321",1872,56905,85179,1872-06-07,"Albany","Linn Co","https://articleextractor.org/pages//85179/oru_ireland_ver01/sn84022644/1872/06/07/ed-1/seq-2/0?user_id=6","sn84022644",6,7,"ed-1","Albany,  Linn Co",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"Oregon","The state rights democrat. [volume] (Albany, Linn County, Oregon) 1865-1900",10519187,"2470-9085",1638,1865-08-21,1900-04-20,"OR","West","Not_Border","The state rights democrat","OR"
"322",1872,53539,81812,1872-08-15,"Litchfield","Con","https://articleextractor.org/pages//81812/ct_ellsworth_ver01/sn84020071/1872/08/15/ed-1/seq-2/0?user_id=6","sn84020071",8,15,"ed-1","Litchfield,  Con",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"Connecticut","Litchfield enquirer. [volume] (Litchfield, Conn.) 1829-current",10316028,NA,2628,1829-01-29,1881-12-29,"CT","Northeast","Not_Border","Litchfield enquirer","CT"
"323",1873,41781,65324,1873-05-13,"Nashville","Tenn 1868-1875","https://articleextractor.org/pages//65324/tu_elvis_ver01/sn85033699/1873/05/13/ed-1/seq-4/0?user_id=6","sn85033699",5,13,"ed-1","Nashville,  Tenn 1868-1875",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Tennessee","Nashville union and American. [volume] (Nashville, Tenn.) 1868-1875",12190398,"2166-6105",2125,1868-10-18,1875-08-31,"TN","South","Not_Border","Nashville union and American","TN"
"324",1873,57232,85506,1873-05-16,"Burlington","Vt","https://articleextractor.org/pages//85506/vtu_burlington_ver01/sn86072143/1873/05/16/ed-1/seq-2/0?user_id=6","sn86072143",5,16,"ed-1","Burlington,  Vt",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"Vermont","Burlington weekly free press. [volume] (Burlington, Vt.) 1866-1928",14907707,"2166-2037",2545,1866-01-05,1920-12-30,"VT","Northeast","Not_Border","Burlington weekly free press","VT"
"325",1873,21222,39461,1873-10-11,"Rayville","La","https://articleextractor.org/pages//39461/lu_quentin_ver01/sn86079088/1873/10/11/ed-1/seq-2/0?user_id=6","sn86079088",10,11,"ed-1","Rayville,  La",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Louisiana","Richland beacon. [volume] (Rayville, La.) 1869-1890",13175560,"2166-7810",867,1972-07-18,1889-12-14,"LA","South","Not_Border","Richland beacon","LA"
"326",1873,53187,81460,1873-04-12,"Weaverville","Ca","https://articleextractor.org/pages//81460/curiv_jojoba_ver01/sn85025202/1873/04/12/ed-1/seq-2/0?user_id=6","sn85025202",4,12,"ed-1","Weaverville,  Ca",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"California","Weekly Trinity journal. [volume] (Weaverville, Calif.) 1857-1972",11601963,"2642-5416",1139,1857-02-14,1879-12-27,"CA","West","Not_Border","Weekly Trinity journal","CA"
"327",1873,36411,58187,1873-03-31,"New York",NA,"https://articleextractor.org/pages//58187/nn_brown_ver01/sn83030272/1873/03/31/ed-1/seq-1/0?user_id=6","sn83030272",3,31,"ed-1","New York , NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"New York","The sun. [volume] (New York [N.Y.]) 1833-1916",9406339,"1940-7831",18980,1859-10-01,1916-07-02,"NY","Northeast","Not_Border","The sun","NY"
"328",1873,48274,74395,1873-03-21,"Bellows Falls",NA,"https://articleextractor.org/pages//74395/vtu_melon_ver01/sn84022549/1873/03/21/ed-1/seq-2/0?user_id=6","sn84022549",3,21,"ed-1","Bellows Falls,",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Vermont","Bellows Falls times. [volume] (Bellows Falls, Vt.) 1856-1965",10467562,"2475-2827",1270,1856-10-01,1903-05-21,"VT","Northeast","Not_Border","Bellows Falls times","VT"
"329",1873,23135,41750,1873-08-22,"Paw Paw","Mich","https://articleextractor.org/pages//41750/mimtptc_gaylord_ver02/sn85033781/1873/08/22/ed-1/seq-2/0?user_id=6","sn85033781",8,22,"ed-1","Paw Paw,  Mich",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Michigan","The true northerner. [volume] (Paw Paw, Mich.) 1855-1920",12264798,"2375-4346",2284,1858-01-14,1919-12-12,"MI","Midwest","Not_Border","The true northerner","MI"
"330",1873,59377,65066,1873-06-18,"Memphis","Tenn","https://articleextractor.org/pages//65066/tu_chet_ver01/sn83045160/1873/06/18/ed-1/seq-1/0?user_id=6","sn83045160",6,18,"ed-1","Memphis,  Tenn",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Tennessee","Memphis daily appeal. [volume] (Memphis, Tenn.) 1847-1886",9355541,"2166-1898",8088,1857-01-01,1886-01-27,"TN","South","Not_Border","Memphis daily appeal","TN"
"331",1873,3024,3177,1873-05-01,"Pioche","Nev","https://articleextractor.org/pages//3177/nvln_caliente_ver02/sn84022048/1873/05/01/ed-1/seq-1/0?user_id=6","sn84022048",5,1,"ed-1","Pioche,  Nev",0,2023-01-23 21:02:58,0,0,0,0,0,"null","Nevada","Pioche daily record. [volume] (Pioche, Nev.) 1872-1876",10267581,"2472-1662",1582,1872-09-17,1876-11-12,"NV","West","Not_Border","Pioche daily record","NV"
"332",1873,22060,40509,1873-01-25,"Portland","Me","https://articleextractor.org/pages//40509/me_damariscotta_ver02/sn83016025/1873/01/25/ed-1/seq-3/0?user_id=6","sn83016025",1,25,"ed-1","Portland,  Me",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Maine","The Portland daily press. [volume] (Portland, Me.) 1862-1921",9338674,"2643-7597",13180,1862-06-23,1904-09-30,"ME","Northeast","Not_Border","The Portland daily press","ME"
"333",1873,57896,4954,1873-06-30,"Memphis","Tenn","https://articleextractor.org/pages//4954/tu_chet_ver01/sn83045160/1873/06/30/ed-1/seq-1/0?user_id=6","sn83045160",6,30,"ed-1","Memphis,  Tenn",0,2023-01-23 21:02:58,1,0,0,0,0,"null","Tennessee","Memphis daily appeal. [volume] (Memphis, Tenn.) 1847-1886",9355541,"2166-1898",8088,1857-01-01,1886-01-27,"TN","South","Not_Border","Memphis daily appeal","TN"
"334",1873,54008,82282,1873-01-04,"New York",NA,"https://articleextractor.org/pages//82282/dlc_goldenglow_ver01/sn83030313/1873/01/04/ed-1/seq-5/0?user_id=6","sn83030313",1,4,"ed-1","New York , NA",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"New York","The New York herald. [volume] (New York [N.Y.]) 1840-1920",9467138,"2474-3224",13677,1842-01-01,1920-01-31,"NY","Northeast","Not_Border","The New York herald","NY"
"335",1873,55674,83948,1873-04-02,"Wheeling","W. Va","https://articleextractor.org/pages//83948/wvu_deforest_ver02/sn84026847/1873/04/02/ed-1/seq-3/0?user_id=6","sn84026847",4,2,"ed-1","Wheeling,  W. Va",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"West Virginia","The Wheeling daily register. [volume] (Wheeling, W. Va.) 1864-1878",10704194,"2576-6139",4326,1864-12-17,1878-06-29,"WV","South","Border","The Wheeling daily register","WV"
"336",1873,4845,5051,1873-03-13,"Ellsworth","Me","https://articleextractor.org/pages//5051/me_aroostook_ver01/sn84022374/1873/03/13/ed-1/seq-2/0?user_id=6","sn84022374",3,13,"ed-1","Ellsworth,  Me",0,2023-01-23 21:02:58,1,0,0,0,0,"null","Maine","Ellsworth American. [volume] (Ellsworth, Me.) 1855-current",10378660,"1541-6720",3750,1855-01-12,1926-12-29,"ME","Northeast","Not_Border","Ellsworth American","ME"
"337",1873,46867,71908,1873-08-11,"Richmond",NA,"https://articleextractor.org/pages//71908/vi_kors_ver02/sn84024738/1873/08/11/ed-1/seq-3/0?user_id=6","sn84024738",8,11,"ed-1","Richmond , NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Virginia","The daily dispatch. [volume] (Richmond [Va.]) 1850-1884",2260085,"2157-1260",9851,1852-01-14,1884-06-29,"VA","South","Not_Border","The daily dispatch","VA"
"338",1873,22065,40517,1873-05-06,"Augusta","Me","https://articleextractor.org/pages//40517/me_dyerbrook_ver01/sn82014248/1873/05/06/ed-1/seq-2/0?user_id=6","sn82014248",5,6,"ed-1","Augusta,  Me",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Maine","Daily Kennebec journal. [microfilm reel] (Augusta, Me.) 1870-1975",173714147,NA,17668,1870-01-01,1926-12-31,"ME","Northeast","Not_Border","Daily Kennebec journal","ME"
"339",1873,54039,82313,1873-08-25,"Chicago","Ill","https://articleextractor.org/pages//82313/dlc_fullerton_ver02/sn84031492/1873/08/25/ed-1/seq-1/0?user_id=6","sn84031492",8,25,"ed-1","Chicago,  Ill",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"Illinois","Chicago daily tribune. [volume] (Chicago, Ill.) 1872-1963",1554151,"2572-9985",3221,1872-10-09,1881-12-31,"IL","Midwest","Not_Border","Chicago daily tribune","IL"
"340",1873,37819,59755,1873-07-26,"Pioche","Nev","https://articleextractor.org/pages//59755/nvln_caliente_ver02/sn84022048/1873/07/26/ed-1/seq-2/0?user_id=6","sn84022048",7,26,"ed-1","Pioche,  Nev",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Nevada","Pioche daily record. [volume] (Pioche, Nev.) 1872-1876",10267581,"2472-1662",1582,1872-09-17,1876-11-12,"NV","West","Not_Border","Pioche daily record","NV"
"341",1873,26446,45813,1873-07-30,"Troy","Mo","https://articleextractor.org/pages//45813/mohi_dorothea_ver01/sn86063984/1873/07/30/ed-1/seq-4/0?user_id=6","sn86063984",7,30,"ed-1","Troy,  Mo",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Missouri","The Troy herald. [volume] (Troy, Mo.) 1873-1890",13745043,"2165-8544",279,1873-06-18,1878-10-30,"MO","Midwest","Border","The Troy herald","MO"
"342",1873,48109,73828,1873-05-09,"Brattleboro","Vt","https://articleextractor.org/pages//73828/vtu_danby_ver01/sn98060050/1873/05/09/ed-1/seq-2/0?user_id=6","sn98060050",5,9,"ed-1","Brattleboro,  Vt",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Vermont","Vermont phœnix. [volume] (Brattleboro, Vt.) 1834-1955",9735466,"2166-9821",3217,1836-01-22,1922-12-22,"VT","Northeast","Not_Border","Vermont phœnix","VT"
"343",1874,59566,70841,1874-07-21,"Alexandria","D.C","https://articleextractor.org/pages//70841/vi_fezza_ver01/sn85025007/1874/07/21/ed-1/seq-2/0?user_id=6","sn85025007",7,21,"ed-1","Alexandria,  D.C",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"District of Columbia","Alexandria gazette. [volume] (Alexandria, D.C.) 1834-1974",11539504,"1946-6153",26936,1834-01-01,1923-04-02,"DC","South","Not_Border","Alexandria gazette","DC"
"344",1874,20538,38624,1874-09-05,"New Orleans","La","https://articleextractor.org/pages//38624/lu_arbok_ver04/sn83016632/1874/09/05/ed-1/seq-2/0?user_id=6","sn83016632",9,5,"ed-1","New Orleans,  La",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Louisiana","The weekly Louisianian. [volume] (New Orleans, La.) 1872-1882",9957300,"2378-038X",285,1872-04-27,1882-06-17,"LA","South","Not_Border","The weekly Louisianian","LA"
"345",1874,22179,40647,1874-08-27,"Portland","Me","https://articleextractor.org/pages//40647/me_farmington_ver01/sn83016025/1874/08/27/ed-1/seq-3/0?user_id=6","sn83016025",8,27,"ed-1","Portland,  Me",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Maine","The Portland daily press. [volume] (Portland, Me.) 1862-1921",9338674,"2643-7597",13180,1862-06-23,1904-09-30,"ME","Northeast","Not_Border","The Portland daily press","ME"
"346",1874,26760,46181,1874-04-10,NA,NA,"https://articleextractor.org/pages//46181/mohi_felice_ver01/sn87052128/1874/04/10/ed-1/seq-4/0?user_id=6","sn87052128",4,10,"ed-1","NA, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Missouri","The state journal. (Jefferson City, Mo.) 1872-1886",15155754,"2166-7845",305,1872-12-27,1878-12-27,"MO","Midwest","Border","The state journal.","MO"
"347",1874,54502,82776,1874-09-29,NA,NA,"https://articleextractor.org/pages//82776/dlc_eastern_ver01/sn86053573/1874/09/29/ed-1/seq-1/0?user_id=6","sn86053573",9,29,"ed-1","NA, NA",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"District of Columbia","National Republican. (Washington City (D.C.)) 1872-1888",13891753,"2151-4437",5184,1872-11-26,1888-06-11,"DC","South","Not_Border","National Republican.","DC"
"348",1874,55066,83340,1874-04-11,"Guildhall","Vt","https://articleextractor.org/pages//83340/vtu_ira_ver01/sn84023416/1874/04/11/ed-1/seq-4/0?user_id=6","sn84023416",4,11,"ed-1","Guildhall,  Vt",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"Vermont","Essex County herald. [volume] (Guildhall, Vt.) 1873-1964",10859812,"1053-3958",2298,1873-01-11,1922-12-21,"VT","Northeast","Not_Border","Essex County herald","VT"
"349",1874,33577,54946,1874-09-11,"Wilmington","N.C","https://articleextractor.org/pages//54946/ncu_lumber_ver01/sn84026536/1874/09/11/ed-1/seq-2/0?user_id=6","sn84026536",9,11,"ed-1","Wilmington,  N.C",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"North Carolina","Wilmington journal. [volume] (Wilmington, N.C.) 1844-1895",10481448,"2379-0296",1603,1844-09-21,1876-10-27,"NC","South","Not_Border","Wilmington journal","NC"
"350",1874,4668,4864,1874-09-05,"New York",NA,"https://articleextractor.org/pages//4864/dlc_itchweed_ver01/sn83030313/1874/09/05/ed-1/seq-7/0?user_id=6","sn83030313",9,5,"ed-1","New York , NA",0,2023-09-12 23:05:59,0,1,0,0,8,"Dylan Manfre","New York","The New York herald. [volume] (New York [N.Y.]) 1840-1920",9467138,"2474-3224",13677,1842-01-01,1920-01-31,"NY","Northeast","Not_Border","The New York herald","NY"
"351",1874,19024,36899,1874-06-20,"Hickman","Ky","https://articleextractor.org/pages//36899/kyu_cardinal_ver01/sn85052141/1874/06/20/ed-1/seq-1/0?user_id=6","sn85052141",6,20,"ed-1","Hickman,  Ky",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Kentucky","The Hickman courier. [volume] (Hickman, Ky.) 1859-current",12495733,"1943-8907",2097,1868-04-18,1922-12-21,"KY","South","Border","The Hickman courier","KY"
"352",1874,22039,40480,1874-12-10,"Belfast","Me","https://articleextractor.org/pages//40480/me_camden_ver01/sn78000873/1874/12/10/ed-1/seq-1/0?user_id=6","sn78000873",12,10,"ed-1","Belfast,  Me",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Maine","The Republican journal. [volume] (Belfast, Me.) 1829-current",2266886,"0034-5075",2832,1869-01-07,1922-12-28,"ME","Northeast","Not_Border","The Republican journal","ME"
"353",1874,16116,32524,1874-02-06,NA,NA,"https://articleextractor.org/pages//32524/iune_broadsheet_ver01/sn92053942/1874/02/06/ed-1/seq-1/0?user_id=6","sn92053942",2,6,"ed-1","NA, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Illinois","The daily Argus. (Rock Island, Ill.) 1873-1877",26846306,"2377-7028",1000,1873-12-08,1877-03-03,"IL","Midwest","Not_Border","The daily Argus.","IL"
"354",1874,54499,82773,1874-08-12,NA,NA,"https://articleextractor.org/pages//82773/dlc_eastern_ver01/sn86053573/1874/08/12/ed-1/seq-4/0?user_id=6","sn86053573",8,12,"ed-1","NA, NA",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"District of Columbia","National Republican. (Washington City (D.C.)) 1872-1888",13891753,"2151-4437",5184,1872-11-26,1888-06-11,"DC","South","Not_Border","National Republican.","DC"
"355",1874,16158,32574,1874-10-17,"Ottawa","Ill","https://articleextractor.org/pages//32574/iune_cataloging_ver01/sn84038582/1874/10/17/ed-1/seq-4/0?user_id=6","sn84038582",10,17,"ed-1","Ottawa,  Ill",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Illinois","The Ottawa free trader. [volume] (Ottawa, Ill.) 1843-1916",11347496,"2328-5990",2327,1843-10-06,1890-08-02,"IL","Midwest","Not_Border","The Ottawa free trader","IL"
"356",1874,51986,80255,1874-02-10,"Washington","D.C","https://articleextractor.org/pages//80255/dlc_mastiff_ver01/sn83045462/1874/02/10/ed-1/seq-1/0?user_id=6","sn83045462",2,10,"ed-1","Washington,  D.C",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"District of Columbia","Evening star. [volume] (Washington, D.C.) 1854-1972",2260929,"2331-9968",36949,1854-10-09,1963-12-31,"DC","South","Not_Border","Evening star","DC"
"357",1874,42186,65833,1874-09-17,NA,NA,"https://articleextractor.org/pages//65833/tu_isaac_ver01/sn86053488/1874/09/17/ed-1/seq-3/0?user_id=6","sn86053488",9,17,"ed-1","NA, NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Tennessee","The Milan exchange. (Milan, Gibson County, Tenn.) 1874-1978",13711135,"2328-1138",701,1874-03-05,1887-12-31,"TN","South","Not_Border","The Milan exchange.","TN"
"358",1874,54433,82707,1874-03-03,NA,NA,"https://articleextractor.org/pages//82707/dlc_american_ver01/sn86053573/1874/03/03/ed-1/seq-4/0?user_id=6","sn86053573",3,3,"ed-1","NA, NA",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"District of Columbia","National Republican. (Washington City (D.C.)) 1872-1888",13891753,"2151-4437",5184,1872-11-26,1888-06-11,"DC","South","Not_Border","National Republican.","DC"
"359",1874,46679,71645,1874-08-27,"Woodstock","Va","https://articleextractor.org/pages//71645/vi_jennet_ver02/sn85026941/1874/08/27/ed-1/seq-2/0?user_id=6","sn85026941",8,27,"ed-1","Woodstock,  Va",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Virginia","Shenandoah herald. [volume] (Woodstock, Va.) 1865-1974",12777562,"2333-7788",2975,1866-06-28,1925-12-25,"VA","South","Not_Border","Shenandoah herald","VA"
"360",1874,55617,83891,1874-08-17,"Wheeling","W. Va","https://articleextractor.org/pages//83891/wvu_enterprise_ver02/sn84026847/1874/08/17/ed-1/seq-4/0?user_id=6","sn84026847",8,17,"ed-1","Wheeling,  W. Va",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"West Virginia","The Wheeling daily register. [volume] (Wheeling, W. Va.) 1864-1878",10704194,"2576-6139",4326,1864-12-17,1878-06-29,"WV","South","Border","The Wheeling daily register","WV"
"361",1874,22177,40644,1874-06-01,"Portland","Me","https://articleextractor.org/pages//40644/me_farmington_ver01/sn83016025/1874/06/01/ed-1/seq-3/0?user_id=6","sn83016025",6,1,"ed-1","Portland,  Me",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Maine","The Portland daily press. [volume] (Portland, Me.) 1862-1921",9338674,"2643-7597",13180,1862-06-23,1904-09-30,"ME","Northeast","Not_Border","The Portland daily press","ME"
"362",1874,21010,39190,1874-05-14,"New Orleans",NA,"https://articleextractor.org/pages//39190/lu_jigglypuff_ver01/sn86079018/1874/05/14/ed-1/seq-1/0?user_id=6","sn86079018",5,14,"ed-1","New Orleans , NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Louisiana","The New Orleans bulletin. [volume] (New Orleans [La.]) 1874-1876",13028198,"2381-540X",632,1874-03-25,1876-03-31,"LA","South","Not_Border","The New Orleans bulletin","LA"
"363",1874,12558,26025,1874-08-17,"Chicago","Ill 1872-1963","https://articleextractor.org/pages//26025/dlc_fullerton_ver02/sn84031492/1874/08/17/ed-1/seq-8/0?user_id=6","sn84031492",8,17,"ed-1","Chicago,  Ill 1872-1963",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Illinois","Chicago daily tribune. [volume] (Chicago, Ill.) 1872-1963",1554151,"2572-9985",3221,1872-10-09,1881-12-31,"IL","Midwest","Not_Border","Chicago daily tribune","IL"
"364",1874,54555,82829,1874-02-22,"New York",NA,"https://articleextractor.org/pages//82829/dlc_eliot_ver01/sn85026214/1874/02/22/ed-1/seq-4/0?user_id=6","sn85026214",2,22,"ed-1","New York , NA",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"New York","New York dispatch. [volume] (New York [N.Y.]) 1863-1899",12090332,NA,1263,1863-07-05,1887-10-09,"NY","Northeast","Not_Border","New York dispatch","NY"
"365",1874,5724,9898,1874-09-28,"Chicago","Ill 1872-1963","https://articleextractor.org/pages//9898/dlc_fullerton_ver02/sn84031492/1874/09/28/ed-1/seq-2/0?user_id=6","sn84031492",9,28,"ed-1","Chicago,  Ill 1872-1963",0,2022-12-07 18:56:06,1,0,0,0,0,"null","Illinois","Chicago daily tribune. [volume] (Chicago, Ill.) 1872-1963",1554151,"2572-9985",3221,1872-10-09,1881-12-31,"IL","Midwest","Not_Border","Chicago daily tribune","IL"
"366",1874,59410,65103,1874-08-29,"Memphis","Tenn","https://articleextractor.org/pages//65103/tu_chet_ver01/sn83045160/1874/08/29/ed-1/seq-1/0?user_id=6","sn83045160",8,29,"ed-1","Memphis,  Tenn",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Tennessee","Memphis daily appeal. [volume] (Memphis, Tenn.) 1847-1886",9355541,"2166-1898",8088,1857-01-01,1886-01-27,"TN","South","Not_Border","Memphis daily appeal","TN"
"367",1874,26945,46395,1874-09-03,"Ste. Genevieve",NA,"https://articleextractor.org/pages//46395/mohi_gordon_ver01/sn87052181/1874/09/03/ed-1/seq-2/0?user_id=6","sn87052181",9,3,"ed-1","Ste. Genevieve , NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Missouri","Fair play. [volume] (Ste. Genevieve [Mo.]) 1872-1961",15182728,"2166-7853",2198,1872-06-14,1921-12-31,"MO","Midwest","Border","Fair play","MO"
"368",1874,31176,51915,1874-06-04,"Brownville","Nem","https://articleextractor.org/pages//51915/nbu_gibson_ver01/sn84020109/1874/06/04/ed-1/seq-2/0?user_id=6","sn84020109",6,4,"ed-1","Brownville,  Nem",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Nebraska","Nebraska advertiser. [volume] (Brownville, Nemaha County, N.T. [Neb.]) 1856-1882",10362256,"2163-7164",1277,1856-06-07,1882-09-14,"NE","Midwest","Not_Border","Nebraska advertiser","NE"
"369",1874,4720,4919,1874-09-05,"Martinsburg","W.","https://articleextractor.org/pages//4919/wvu_casper_ver01/sn84026810/1874/09/05/ed-1/seq-1/0?user_id=6","sn84026810",9,5,"ed-1","Martinsburg,  W.",0,2023-01-23 21:02:58,1,0,0,0,0,"null","West Virginia","Martinsburg weekly independent. [volume] (Martinsburg, W. Va.) 1873-1875",10684334,NA,64,1874-01-03,1875-03-27,"WV","South","Border","Martinsburg weekly independent","WV"
"370",1874,21022,39204,1874-06-23,"New Orleans",NA,"https://articleextractor.org/pages//39204/lu_jigglypuff_ver01/sn86079018/1874/06/23/ed-1/seq-1/0?user_id=6","sn86079018",6,23,"ed-1","New Orleans , NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Louisiana","The New Orleans bulletin. [volume] (New Orleans [La.]) 1874-1876",13028198,"2381-540X",632,1874-03-25,1876-03-31,"LA","South","Not_Border","The New Orleans bulletin","LA"
"371",1874,38094,60081,1874-01-28,"Eureka","Nev","https://articleextractor.org/pages//60081/nvln_quartz_ver01/sn84022044/1874/01/28/ed-1/seq-2/0?user_id=6","sn84022044",1,28,"ed-1","Eureka,  Nev",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Nevada","Eureka daily sentinel. [volume] (Eureka, Nev.) 1871-1887",10266611,"2644-2302",4624,1871-10-13,1887-10-02,"NV","West","Not_Border","Eureka daily sentinel","NV"
"372",1874,35781,57484,1874-05-23,"Las Vegas","N.M","https://articleextractor.org/pages//57484/nmu_elk_ver01/sn84027457/1874/05/23/ed-1/seq-2/0?user_id=6","sn84027457",5,23,"ed-1","Las Vegas,  N.M",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"New Mexico","Las Vegas gazette. [volume] (Las Vegas, N.M.) 1872-18??",11156592,"2375-6233",248,1872-10-05,1878-12-28,"NM","West","Not_Border","Las Vegas gazette","NM"
"373",1874,41948,65543,1874-02-22,"Nashville","Tenn 1868-1875","https://articleextractor.org/pages//65543/tu_furry_ver01/sn85033699/1874/02/22/ed-1/seq-3/0?user_id=6","sn85033699",2,22,"ed-1","Nashville,  Tenn 1868-1875",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Tennessee","Nashville union and American. [volume] (Nashville, Tenn.) 1868-1875",12190398,"2166-6105",2125,1868-10-18,1875-08-31,"TN","South","Not_Border","Nashville union and American","TN"
"374",1874,21040,39223,1874-09-13,"New Orleans",NA,"https://articleextractor.org/pages//39223/lu_jigglypuff_ver01/sn86079018/1874/09/13/ed-1/seq-7/0?user_id=6","sn86079018",9,13,"ed-1","New Orleans , NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"Louisiana","The New Orleans bulletin. [volume] (New Orleans [La.]) 1874-1876",13028198,"2381-540X",632,1874-03-25,1876-03-31,"LA","South","Not_Border","The New Orleans bulletin","LA"
"375",1874,12831,26690,1874-12-03,"New York",NA,"https://articleextractor.org/pages//26690/dlc_juneberry_ver01/sn83030313/1874/12/03/ed-1/seq-7/0?user_id=6","sn83030313",12,3,"ed-1","New York , NA",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"New York","The New York herald. [volume] (New York [N.Y.]) 1840-1920",9467138,"2474-3224",13677,1842-01-01,1920-01-31,"NY","Northeast","Not_Border","The New York herald","NY"
"376",1874,59575,70852,1874-06-22,"Alexandria","D.C","https://articleextractor.org/pages//70852/vi_fezza_ver01/sn85025007/1874/06/22/ed-1/seq-3/0?user_id=6","sn85025007",6,22,"ed-1","Alexandria,  D.C",NA,2023-09-02 00:25:25,0,0,0,0,NA,NA,"District of Columbia","Alexandria gazette. [volume] (Alexandria, D.C.) 1834-1974",11539504,"1946-6153",26936,1834-01-01,1923-04-02,"DC","South","Not_Border","Alexandria gazette","DC"
"377",1875,4849,5055,1875-08-14,"Washington City)",NA,"https://articleextractor.org/pages//5055/dlc_eastern_ver01/sn86053573/1875/08/14/ed-1/seq-1/0?user_id=6","sn86053573",8,14,"ed-1","Washington City), NA",0,2023-08-20 01:45:26,0,1,0,0,1,"Mohamed Salama","District of Columbia","National Republican. (Washington City (D.C.)) 1872-1888",13891753,"2151-4437",5184,1872-11-26,1888-06-11,"DC","South","Not_Border","National Republican.","DC"
"378",1875,4767,4968,1875-04-01,"St. Cloud","Minn","https://articleextractor.org/pages//4968/mnhi_datsun_ver01/sn85033526/1875/04/01/ed-1/seq-1/0?user_id=6","sn85033526",4,1,"ed-1","St. Cloud,  Minn",0,2023-01-23 21:02:58,1,0,0,0,0,"null","Minnesota","The St. Cloud journal. [volume] (St. Cloud, Minn.) 1866-1876",1716669,"2326-764X",469,1866-09-13,1876-05-18,"MN","Midwest","Not_Border","The St. Cloud journal","MN"
"379",1875,52646,80919,1875-01-01,"Independence","I","https://articleextractor.org/pages//80919/iahi_electabuzz_ver01/sn84027186/1875/01/01/ed-1/seq-2/0?user_id=6","sn84027186",1,1,"ed-1","Independence,  I",NA,2023-09-07 18:07:27,0,0,0,0,NA,NA,"Iowa","Buchanan County bulletin. [volume] (Independence, Iowa) 1869-1891",10946477,"2578-9058",465,1869-04-02,1878-12-27,"IA","Midwest","Not_Border","Buchanan County bulletin","IA"
